node	Country_Full	agg
KU055593	Cambodia	Cambodia
KU055495	VietNam	VietNam
KU055496	VietNam	VietNam
KU055590	Cambodia	Cambodia
FJ594278	China	China
MW055234	VietNam	VietNam
DQ275541	Thailand	Thailand
DQ275540	Thailand	Thailand
DQ275542	Thailand	Thailand
DQ275544	Thailand	Thailand
AB614376	VietNam	VietNam
AB614375	VietNam	VietNam
AB614378	VietNam	VietNam
AB628211	VietNam	VietNam
AB614377	VietNam	VietNam
EU086170	Cambodia	Cambodia
KM366268	Cambodia	Cambodia
KU055596	Cambodia	Cambodia
DQ275545	Thailand	Thailand
DQ275538	Thailand	Thailand
EU086208	Thailand	Thailand
EU086216	Thailand	Thailand
EU293100	Thailand	Thailand
EU293111	Thailand	Thailand
HQ232301	Thailand	Thailand
DQ275537	Thailand	Thailand
KU055545	Thailand	Thailand
KY678613	Thailand	Thailand
KY678624	Thailand	Thailand
KY678621	Thailand	Thailand
LC071936	Thailand	Thailand
EU086129	Myanmar	Myanmar
EU086165	Myanmar	Myanmar
EU086166	Myanmar	Myanmar
KX148248	Myanmar	Myanmar
EU086164	Myanmar	Myanmar
KX148247	Myanmar	Myanmar
KU055595	Myanmar	Myanmar
KU055597	Myanmar	Myanmar
KU055591	Myanmar	Myanmar
EU004769	China	China
EU086218	Thailand	Thailand
EU086217	Thailand	Thailand
KF663542	China	China
MK161043	China	China
EU159384	China	China
EU159382	China	China
KF663521	China	China
KF663511	China	China
KF663515	China	China
KT894580	China	China
KT221103	China	China
EU700032	China	China
EU086146	China	China
EU004781	China	China
FJ825129	China	China
KT894567	China	China
EU004744	China	China
EU004728	China	China
EU004780	China	China
AB458798	China	China
EU004764	China	China
GQ472502	China	China
GQ472501	China	China
EU004766	China	China
EU004772	China	China
EU004784	China	China
EU004768	China	China
JQ040606	China	China
KT894560	China	China
MG383885	China	China
MG383892	China	China
KU888643	Chile	Chile
EU086188	China	China
EU086148	China	China
EU004721	China	China
MK124758	China	China
KF663516	China	China
EU159380	China	China
EU086141	China	China
EU086140	China	China
GU186385	China	China
JN974837	China	China
MW055230	VietNam	VietNam
MW055229	VietNam	VietNam
MW055215	VietNam	VietNam
MW055214	VietNam	VietNam
MW055216	VietNam	VietNam
MW055225	VietNam	VietNam
MW055226	VietNam	VietNam
MW055231	VietNam	VietNam
MW055228	VietNam	VietNam
MW055224	VietNam	VietNam
MW055217	VietNam	VietNam
MW055218	VietNam	VietNam
MW055222	VietNam	VietNam
MW055219	VietNam	VietNam
MW055220	VietNam	VietNam
MW055221	VietNam	VietNam
MW055223	VietNam	VietNam
MW055227	VietNam	VietNam
MW055232	VietNam	VietNam
MW055233	VietNam	VietNam
KT894563	China	China
EU159363	China	China
MK370431	Thailand	Thailand
MK370429	Thailand	Thailand
MK370423	Thailand	Thailand
MK370425	Thailand	Thailand
MK370421	Thailand	Thailand
MK370422	Thailand	Thailand
MK370432	Thailand	Thailand
MK370430	Thailand	Thailand
MK370426	Thailand	Thailand
MK370424	Thailand	Thailand
EU159372	China	China
MK370428	Thailand	Thailand
MK370427	Thailand	Thailand
