node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
KP723577	0.0	0.0	1.0	0.0	0.0	0.0
JX987739	0.0	0.0	1.0	0.0	0.0	0.0
KP723579	0.0	0.0	1.0	0.0	0.0	0.0
KP723581	0.0	0.0	1.0	0.0	0.0	0.0
n1273	0.0	0.0	1.0	0.0	0.0	0.0
KC792233	0.0	0.0	1.0	0.0	0.0	0.0
MN534895	0.0	0.0	1.0	0.0	0.0	0.0
n12741274	0.0	0.0	1.0	0.0	0.0	0.0
n1275	0.0	0.0	1.0	0.0	0.0	0.0
KC792227	0.0	0.0	1.0	0.0	0.0	0.0
JX987727	0.0	0.0	1.0	0.0	0.0	0.0
KC792229	0.0	0.0	1.0	0.0	0.0	0.0
KC792228	0.0	0.0	1.0	0.0	0.0	0.0
KM979363	0.0	0.0	1.0	0.0	0.0	0.0
KM979359	0.0	0.0	1.0	0.0	0.0	0.0
KM979365	0.0	0.0	1.0	0.0	0.0	0.0
KM979364	0.0	0.0	1.0	0.0	0.0	0.0
KM979361	0.0	0.0	1.0	0.0	0.0	0.0
KM979360	0.0	0.0	1.0	0.0	0.0	0.0
n12871287	0.9999644445760617	1.8594859571407135e-09	3.5550965397363765e-05	1.3696961414979824e-10	1.557401711381613e-09	9.0468371788172e-10
MN233959	1.0	0.0	0.0	0.0	0.0	0.0
DQ275551	0.0	0.0	1.0	0.0	0.0	0.0
n13461346	0.9885984108571381	6.446198741906431e-07	0.01140004351992896	4.7482657829237065e-08	5.398976482720148e-07	3.1362275265577963e-07
n13491349	0.9997493700828896	1.0206118760881984e-07	0.00025038520217311917	7.51782041309192e-09	8.548075753797565e-08	4.9655171797774284e-08
n1356	0.0	0.0	1.0	0.0	0.0	0.0
n1422	0.0	0.0	1.0	0.0	0.0	0.0
n14231423	0.952661544108426	2.6753505053591454e-05	0.04469479504335076	1.9706614348299704e-06	0.00260192047135399	1.3016210380780492e-05
JN258418	1.0	0.0	0.0	0.0	0.0	0.0
n1435	1.396999318028158e-11	3.882109280083316e-12	0.9999999999767217	2.8595591600917106e-13	3.251438180188783e-12	1.888737606886445e-12
LM645041	0.0	0.0	1.0	0.0	0.0	0.0
n1436	1.5875338362799134e-07	4.411583999172931e-08	0.9999997354688445	3.249569892344255e-09	3.694896669604557e-08	2.146339529369866e-08
LM645056	0.0	0.0	1.0	0.0	0.0	0.0
n14371437	1.1558250502226373e-09	3.2119106465078016e-10	0.9999999980740462	2.3658912843433288e-11	2.6901171898968733e-10	1.5626701852885616e-10
n14381438	8.843684045057297e-09	2.45756192575754e-09	0.9999999852637517	1.8102385093450474e-10	2.058316780668999e-09	1.19566176414563e-09
LM645051	0.0	0.0	1.0	0.0	0.0	0.0
LM645052	0.0	0.0	1.0	0.0	0.0	0.0
LM645055	0.0	0.0	1.0	0.0	0.0	0.0
n1443	0.00013073481847343453	9.893698713734497e-07	0.9998668929419734	7.287692010421683e-08	8.286410149801503e-07	4.813517467863077e-07
KX036364	0.0	0.0	1.0	0.0	0.0	0.0
n14461446	1.0	0.0	0.0	0.0	0.0	0.0
n1449	0.007308745371664786	1.9804674295080796e-05	0.9926437684120462	1.4588110150241753e-06	1.658729044017202e-05	9.635440538771647e-06
KX036367	0.0	0.0	1.0	0.0	0.0	0.0
n14661466	2.650207220864539e-25	7.364637844129459e-26	1.0	5.4247874257384354e-27	6.168209843770579e-26	3.583069783397071e-26
GU937044	0.0	0.0	1.0	0.0	0.0	0.0
n1479	2.650207220864539e-25	7.364637844129459e-26	1.0	5.4247874257384354e-27	6.168209843770579e-26	3.583069783397071e-26
n14791479	0.0	0.0	1.0	0.0	0.0	0.0
n1481	4.136188525372119e-09	1.1494018394502668e-09	0.9999999931078589	8.466486442019305e-11	9.626748644972735e-10	5.592110687691881e-10
JN786936	0.0	0.0	1.0	0.0	0.0	0.0
n1483	3.5403785352655913e-15	9.838327184127588e-16	0.9999999999999942	7.246905377879405e-17	8.240034045351527e-16	4.786577914446602e-16
GU937041	0.0	0.0	1.0	0.0	0.0	0.0
GU937040	0.0	0.0	1.0	0.0	0.0	0.0
GU937045	0.0	0.0	1.0	0.0	0.0	0.0
GU937042	0.0	0.0	1.0	0.0	0.0	0.0
GU937043	0.0	0.0	1.0	0.0	0.0	0.0
GU937036	0.0	0.0	1.0	0.0	0.0	0.0
n14891489	2.051945090975393e-09	5.702132404145855e-10	0.9999999965808388	4.200187004519642e-11	4.775788023909928e-10	2.7742217269383403e-10
JN786931	0.0	0.0	1.0	0.0	0.0	0.0
JN786930	0.0	0.0	1.0	0.0	0.0	0.0
JN786918	0.0	0.0	1.0	0.0	0.0	0.0
n1514	1.0	1.2579086648175297e-55	3.393528888689208e-59	6.430417327083274e-61	7.311653035063234e-60	4.247287904772168e-60
n1532	0.9999999999974858	4.0002140293378324e-13	1.5549876696938091e-12	2.946555041251923e-14	3.3503561300151505e-13	1.9461983493269852e-13
n15331533	9.833216081311967e-07	0.9999989506348883	4.857689447531248e-08	9.204863555784924e-10	1.0466314257945799e-08	6.079808456738446e-09
n1534	0.9999832043539142	2.672343005649899e-06	1.0388095218159996e-05	1.968446112508502e-07	2.2382054322139154e-06	1.3001578186285873e-06
n15341534	0.9999979882410017	3.20089507774401e-07	1.2442715168166786e-06	2.35777722358679e-08	2.680891163973585e-07	1.5573108516159737e-07
n1535	0.9999940256013671	9.505822114933654e-07	3.6951613265231643e-06	7.00198236108838e-08	7.96154634727718e-07	4.624806366208917e-07
EU888703	1.0	0.0	0.0	0.0	0.0	0.0
KF022183	1.0	0.0	0.0	0.0	0.0	0.0
KC196743	1.0	0.0	0.0	0.0	0.0	0.0
EU038099	1.0	0.0	0.0	0.0	0.0	0.0
KF022175	1.0	0.0	0.0	0.0	0.0	0.0
KF022177	1.0	0.0	0.0	0.0	0.0	0.0
KF022191	1.0	0.0	0.0	0.0	0.0	0.0
KF022189	1.0	0.0	0.0	0.0	0.0	0.0
KF022188	1.0	0.0	0.0	0.0	0.0	0.0
KF022173	1.0	0.0	0.0	0.0	0.0	0.0
n1536	0.01739740466434925	0.98260258770402	5.613283573150635e-09	1.0636643191968496e-10	1.2094307495391101e-09	7.02549829640848e-10
n15431543	0.9532649495804961	0.045887246489236956	0.0006235841505275822	1.181633178315588e-05	0.0001343566268735599	7.804682108265355e-05
n1546	9.582486137399207e-20	1.0	1.0351206973520837e-19	1.9614561379046617e-21	2.230257539188073e-20	1.2955409433809248e-20
n1547	1.6567989074029742e-22	1.0	1.7897072197109261e-22	3.391326460898938e-24	3.8560798078042445e-23	2.2399696825029172e-23
n1548	9.103895325726324e-09	0.9999999775258818	9.834183084265237e-09	1.863484985012257e-10	2.1188602470749557e-09	1.2308310386374357e-09
DQ275560	0.0	1.0	0.0	0.0	0.0	0.0
DQ275559	0.0	1.0	0.0	0.0	0.0	0.0
n15521552	1.0318235000332746e-06	0.9999974527982297	1.1146042588986123e-06	2.1120699939088687e-08	2.4015117830981133e-07	1.3950213311006188e-07
KU564993	0.0	1.0	0.0	0.0	0.0	0.0
n15561556	2.0516590020654042e-19	1.0	2.216258751071313e-19	4.199601400681041e-21	4.7751221678906265e-20	2.7738349358524494e-20
KX148241	0.0	1.0	0.0	0.0	0.0	0.0
EU853653	0.0	1.0	0.0	0.0	0.0	0.0
EU888656	1.0	0.0	0.0	0.0	0.0	0.0
KT119786	0.0	1.0	0.0	0.0	0.0	0.0
n15671567	2.8174360231578205e-14	0.9999999999999304	3.043472251295697e-14	5.76709299999241e-16	6.557425574742579e-15	3.809162469346461e-15
n15721572	2.6711245101754293e-06	0.9999934059525871	2.885422511693126e-06	5.467603643214288e-08	6.21689366941304e-07	3.6113498767960316e-07
n15761576	6.880751164073674e-09	0.9999999830138958	7.4327775551252505e-09	1.4084412759279928e-10	1.6014565472249963e-09	9.302748626648496e-10
FJ545669	0.0	1.0	0.0	0.0	0.0	0.0
n1578	1.768285165432795e-05	0.7905313056537197	0.20945022965918625	4.1202551211854905e-08	4.6849021346042764e-07	2.721426752052201e-07
n1585	4.1682361749168356e-06	0.9999897101213885	4.502643904221742e-06	8.532085722299818e-08	9.701337766077029e-07	5.635438984367694e-07
EU853614	0.0	1.0	0.0	0.0	0.0	0.0
KX148234	0.0	1.0	0.0	0.0	0.0	0.0
FJ545672	0.0	1.0	0.0	0.0	0.0	0.0
KX148235	0.0	0.0	1.0	0.0	0.0	0.0
MN049984	0.0	1.0	0.0	0.0	0.0	0.0
n1592	2.9587416268189143e-08	0.999999926959292	3.1961144693124556e-08	6.056335613146841e-10	6.88630650466806e-09	4.000207092099208e-09
n1604	1.0911477585703483e-13	0.9999999999997308	1.1786879623801597e-13	2.2335025706654606e-15	2.5395856938936586e-14	1.4752274963103443e-14
n1605	3.700007475988699e-08	0.9999999086600996	3.996850324266423e-08	7.573654570788717e-10	8.61156152273274e-09	5.0023956171472575e-09
EU853643	0.0	1.0	0.0	0.0	0.0	0.0
n16071607	2.2900660100998357e-24	1.0	2.4737925894631347e-24	4.687603746034559e-26	5.330001213531078e-25	3.096160277038401e-25
n1610	3.313082398457594e-07	0.9999991821189039	3.5788831629477113e-07	6.781646202964224e-09	7.711014934254057e-08	4.479274427645133e-08
n1611	0.0	1.0	0.0	0.0	0.0	0.0
FJ545668	0.0	1.0	0.0	0.0	0.0	0.0
KU739038	0.0	1.0	0.0	0.0	0.0	0.0
n16151615	3.0644639731389824e-41	1.0	3.3103186694157697e-41	6.2727418060093376e-43	7.132369383073364e-42	4.143143290282081e-42
n1618	0.7998209423270443	0.20017321576342814	4.296892312192865e-06	8.142205852154176e-08	9.258028072341603e-07	5.377923496250126e-07
n16181618	0.0	1.0	0.0	0.0	0.0	0.0
n1619	3.122291381723686e-21	1.0	4.746807202578651e-23	8.9947521547635e-25	1.0227408820734245e-23	5.9410299658846206e-24
n16191619	2.4850942748773764e-08	0.9999999386519446	2.6844675106290544e-08	5.086812860759582e-10	5.783918647942428e-09	3.3598377272257974e-09
n1620	0.0	1.0	0.0	0.0	0.0	0.0
EU478509	0.0	1.0	0.0	0.0	0.0	0.0
EU478511	0.0	1.0	0.0	0.0	0.0	0.0
EU827270	0.0	1.0	0.0	0.0	0.0	0.0
n1621	1.0978494601608545e-06	0.9999972898038393	1.1859273256379309e-06	2.247220481564934e-08	2.5551835314461945e-07	1.4842881706147438e-07
n16221622	1.197860888675102e-10	0.999999999704291	1.2939624345077323e-10	2.4519368281165414e-12	2.7879545664281408e-11	1.6195032302898924e-11
n1625	1.4396340535296751e-05	0.9999837859108907	1.3370063051296856e-06	2.5335009050851293e-08	2.880696328056538e-07	1.673376268376159e-07
KX148231	0.0	1.0	0.0	0.0	0.0	0.0
n16271627	1.1053081454022315e-14	0.9999999999999727	1.1939844035544107e-14	2.2624878846545274e-16	2.572543206325676e-15	1.494372283850535e-15
n1628	1.6740666508915097e-06	0.9999958673304722	1.8083730586710231e-06	3.4266964660501046e-08	3.896296980712214e-07	2.26333155583539e-07
KX148229	0.0	1.0	0.0	0.0	0.0	0.0
EU478517	0.0	1.0	0.0	0.0	0.0	0.0
EU827273	0.0	1.0	0.0	0.0	0.0	0.0
FJ545680	0.0	1.0	0.0	0.0	0.0	0.0
KX148244	0.0	1.0	0.0	0.0	0.0	0.0
n16511651	3.6429294122640774e-07	1.012330492616159e-07	4.403047168661771e-06	7.456819796527118e-09	8.478715505378192e-08	0.999995039182866
n17131713	8.665149240940415e-07	2.4079508019407683e-07	9.36090180340847e-07	1.7736949879453486e-08	2.0167652707804206e-07	0.9999977371863384
