7096
MT454644	2017
MT454645	2017
MT454646	2017
MT454647	2017
MT454648	2017
MT454649	2017
MT454650	2017
MT454651	2017
MT454652	2017
MT454653	2017
MT454654	2017
MN418166	2018-04-03
MK598338	2006
MK598339	2007
MK598340	2007
MK598341	2008
MK598342	2009
MK598343	2008
MK598344	2009
MK598345	2010
MK598346	2010
MK598347	2016
MK598348	2017
MK598349	2017
MK598350	2017
MK598351	2013
MK598352	2013
MK598353	2013
MK598354	2013
MK598355	2013
MK598356	2013
MK598357	2013
MK598358	2013
MK598359	2013
MK598360	2013
MK598361	2013
MK598362	2013
MK598363	2013
MK598364	2013
MK598365	2014
MK598366	2014
MK598367	2014
MK598368	2014
MK598369	2014
MK598370	2014
MK598371	2014
MK598372	2014
MK598373	2014
MK598374	2014
MK598375	2014
MK598376	2014
MK598377	2014
MK598378	2014
MK598379	2014
MK598380	2013
MK598381	2013
MK598382	2013
MK598383	2013
MK598384	2013
MK598385	2013
MK598386	2013
MK598387	2013
MK598388	2013
MK598389	2013
MK598390	2014
MK598391	2014
MK598392	2014
MK598393	2014
MK598394	2014
MK598395	2014
MK598396	2014
MK598397	2014
MK598398	1996
MT036064	2017-11
MT036065	2018-01
MT036066	2019-10
MN384717	2017
MN384718	2017
MN384719	2017
MN384720	2018
MN384721	2017
MN384722	2018
MN534894	2018
MN534895	2019
MN534896	2018
MN534897	2018
MK511220	2017
MK511221	2017
MK511222	2017
MK511223	2017
MK511224	2017
MK511225	2017
MK511226	2017
MK511227	2017
MK511228	2017
MK511229	2017
MK511230	2017
MK511231	2017
MK511232	2017
MK511233	2017
MK511234	2017
MN991296	2019
MN991297	2016
MN233882	1990
MN233883	2012
MN233884	2012
MN233885	2012
MN233886	2012
MN233887	2013
MN233888	2013
MN233889	2013
MN233890	2013
MN233891	2014
MN233892	2012
MN233893	2012
MN233894	2012
MN233895	2012
MN233896	2012
MN233897	2012
MN233898	1989
MN233899	2007
MN233900	2007
MN233901	2008
MN233902	2008
MN233903	2005
MN233904	2012
MN233905	2012
MN233906	1996
MN233907	1996
MN233908	1996
MN233909	1996
MN233910	1996
MN233911	1996
MN233912	1996
MN233913	2002
MN233914	2002
MN233915	2002
MN233916	2003
MN233917	2003
MN233918	2003
MN233919	2003
MN233920	2004
MN233921	2004
MN233922	2004
MN233923	2004
MN233924	2012
MN233925	2012
MN233926	2012
MN233927	2012
MN233928	2012
MN233929	2012
MN233930	2012
MN233931	2012
MN233932	2012
MN233933	2012
MN233934	2012
MN233935	2012
MN233936	2012
MN233937	2015
MN233938	2015
MN233939	2015
MN233940	2015
MN233941	2015
MN233942	2015
MN233943	2015
MN233944	2015
MN233945	2015
MN233946	2015
MN233947	1990
MN233948	1990
MN233949	1990
MN233950	1992
MN233951	1993
MN233952	1993
MN233953	1993
MN233954	1993
MN233955	1993
MN233956	1993
MN233957	1993
MN233958	1994
MN233959	1997
MN233960	1998
MN233961	2000
MN233962	2000
MN233963	2001
MN233964	2005
MN233965	2006
MN233966	2006
MN233967	2007
MN233968	2008
MN233969	2008
MN233970	2012
MN233971	2012
MN233972	2012
MN233973	2013
MN233974	1999
MN233975	1999
MN233976	2002
MN233977	2002
MN233978	2004
MN233979	2005
MN233980	2005
MN233981	2005
MN233982	2006
MN233983	2006
MN233984	2006
MN233985	2007
MN233986	2007
MN233987	2007
MN233988	2008
MN233989	2008
MN233990	2012
MN233991	2012
MN233992	2012
MN233993	2012
MN233994	2013
MN233995	2013
MN233996	2013
MN233997	2013
MN233998	2014
MN233999	2015
MN234000	2015
MN234001	2015
MN234002	2015
MN234003	2015
MN234004	2015
MN234005	2015
MN234006	2015
MN234007	2016
MN234008	2017
MN234009	2017
MN234010	2017
MN234011	2017
MN234012	2017
MN234013	1995
MN234014	2000
MN234015	2013
MN234016	1993
MN234017	1996
MN234018	1999
MN234019	2000
MN234020	2000
MN234021	2000
MN234022	2001
MN234023	2002
MN234024	2003
MN234025	2003
MN234026	2003
MN234027	2004
MN234028	2004
MN234029	2004
MN234030	2004
MN234031	2009
MN234032	2009
MN234033	2009
MN234034	2009
MN234035	2009
MN234036	2012
MN234037	2012
MN234038	2012
MN234039	2012
MN234040	2012
MN234041	2012
MN234042	2012
MN234043	2012
MN234044	2012
MN234045	2012
MN234046	2012
MN234047	2012
MN234048	2012
MN234049	2012
MN234050	2012
MN234051	2015
MN234052	2015
MN234053	2015
MN234054	2015
MN234055	2017
MN234056	2017
MN175989	2019
MN857167	2019-06-26
MN857168	2019-05-28
MN857169	2019-05-31
MN857170	2019-05-27
MN857171	2019-05-06
MN186249	2018
MN186250	2018
MN196558	2016
MN196559	2016
MN196560	2016
MN196561	2016
MN196562	2016
MN196563	2016
MN196564	2016
MN196565	2016
MN196566	2016
MN196567	2016
MN196568	2016
MN196569	2016
MN196570	2016
MN196571	2016
MN196572	2016
MN196573	2016
MN196574	2016
MN196575	2016
MN196576	2016
MN075931	1999
MN549362	2006
MN243705	2014
MN243706	2014
MN243707	2014
MN243708	2014
MH671332	2017
MG099711	2016-08-01
MN726804	2015
MN726805	2017
MN726808	2016
MN726812	2017
MN726814	2018
MN726815	2015
MN726816	2018
MN726817	2016
MN726818	2015
MN726819	2013
MN726820	2017
MN726821	2018
MN726824	2016
MN726825	2015
MN726826	2016
MN726827	2017
MN726830	2018
MN726831	2013
MN726833	2017
MN726835	2017
MN726836	2013
MN726837	2013
MN726838	2013
MN726839	2015
MN726840	2015
MN726841	2014
MN726842	2019
MN726843	2012
MN726845	2012
MN726846	2015
MN726847	2017
MN726848	2016
MN726851	2014
MN726852	2018
MN726853	2012
MN726854	2015
MN726855	2016
MN726857	2016
MN726858	2016
MN726859	2015
MN726860	2018
MN726861	2015
MN726862	2013
MN726863	2015
MN726864	2016
MN726865	2014
MN726866	2014
MN726867	2012
MN726868	2016
MN726869	2013
MN726871	2013
MN726873	2014
MN726874	2012
MN726875	2018
MN726876	2018
MN726877	2015
MN726879	2012
MN726880	2019
MN726881	2015
MN726882	2019
MK956097	2015
MK956098	2015
MK956099	2015
MK956100	2015
MK956101	2015
MK248521	2014-10-29
MK248522	2016-02-08
MK248523	2016-03-08
MK248524	2016-12-13
MK248525	2014-11-05
MK248526	2014-11-05
LC422729	2017-09-25
LC422730	2017-01-16
LC422731	2017-03-16
LC422732	2017-03-25
LC422733	2018-07-19
LC422734	2018-06-11
LC422735	2017-07-07
LC422736	2018-02-21
LC422737	2018-02-23
LC422738	2018-02-10
LC422739	2018-06-23
LC422740	2018-07-02
LC422741	2018-07-09
LC422742	2018-06-19
MK534447	2015-04-25
MK534448	2015-04-25
MK534449	2016-04-24
MK534450	2016-04-16
MK534451	2016-04-04
MK534452	2015-04-17
MK534453	2016-04-20
MK534454	2016-04-25
MK534455	2015-04-25
MG407529	2016
MG407530	2016
MG407531	2016
MG407532	2016
MG407533	2016
MG407534	2016
MG407535	2016
MG407536	2016
MG407537	2017
MG407538	2017
MG407539	2017
MG407540	2017
MG407541	2017
MG407542	2017
MG407543	2017
MG407544	2017
MG407545	2017
MG407546	2017
MG407547	2017
MG407548	2017
MG407549	2017
MG407550	2017
MG407551	2017
MG407552	2017
MK887203	2016-10
MK887204	2017-01
MK887205	2017-02
MK887206	2017-02
MK111075	2015
MK790254	2018-09-11
MK790255	2019-03-14
MK790256	2019-03-03
MK790257	2019-03-22
MK689674	2017-10-15
MK689675	2017-10-15
MK689676	2017-10-15
MK760667	2008-01-15
MK760668	2008-01-29
MK760669	2008-01-30
MK760670	2008-01-24
MK760671	2008-03-04
MK760672	2008-03-01
MK760673	2008-03-22
MK760674	2008-06-02
MK760675	2008-11-30
MK760676	2009-01-13
MK760677	2009-02-01
MK760678	2009-02-26
MK760679	2008-04-23
MK760680	2008-04-23
MK760681	2009-03-25
MK760682	2009-04-06
MK760683	2009-09-14
MK760684	2009-03-29
MK760685	2009-04-08
MK760686	2009-12-20
MK760687	2009-04-11
MK760688	2009-04-20
MK760689	2010-01-18
MK760690	2010-03-06
MK760691	2009-04-25
MK760692	2009-05-12
MK760693	2009-05-17
MK760694	2009-05-13
MK760695	2011-01-08
MK760696	2012-06-20
MK760697	2012-06-20
MK760698	2012-06-26
MK760699	2012-06-26
MK760700	2012-07-02
MK760701	2012-10-03
MK760702	2012-10-29
MK760703	2012-11-18
MK760704	2012-12-01
MK760705	2012-12-12
MK760706	2012-12-29
MK760707	2012-05-19
MK760708	2012-06-10
MK760709	2012-10-19
MK760710	2013-07-01
MK760711	2013-07-08
MK760712	2013-07-23
MK760713	2013-04-10
MK760714	2013-08-03
MK760715	2013-08-03
MK760716	2013-04-10
MK760717	2013-08-07
MK760718	2013-08-14
MK760719	2013-09-04
MK760720	2013-09-29
MK760721	2013-10-21
MK760722	2013-04-20
MK760723	2013-11-19
MK760724	2013-11-26
MK760725	2013-12-18
MK760726	2013-12-23
MK760727	2013-12-29
MK760728	2014-01-08
MK760729	2014-01-08
MK760730	2014-01-13
MK760731	2014-01-20
MK760732	2014-01-25
MK760733	2014-01-28
MK760734	2013-05-07
MK760735	2014-02-24
MK760736	2014-02-25
MK760737	2013-05-07
MK760738	2014-03-02
MK760739	2013-06-08
MK760740	2013-06-08
MK760741	2013-06-08
MK760742	2014-03-01
MK760743	2014-06-28
MK760744	2014-05-31
MK760745	2014-07-06
MK760746	2014-07-26
MK760747	2014-08-10
MK760748	2014-04-04
MK760749	2014-04-14
MK760750	2014-08-31
MK760751	2014-08-14
MK760752	2014-09-27
MK760753	2014-10-01
MK760754	2014-04-19
MK760755	2014-04-23
MK760756	2014-11-15
MK760757	2014-11-16
MK760758	2014-12-04
MK760759	2014-12-27
MK760760	2014-05-03
MK760761	2014-05-12
MK760762	2014-05-14
MK760763	2014-05-25
MK760764	2014-06-07
MK760765	2014-06-08
MK760766	2015-10-04
MK760767	2015-12-01
MK760768	2007
MK760769	2009
MK760770	2009
MK532758	2018
MK510916	2017
MK510917	2017
MK510918	2017
MK510919	2017
MK510920	2017
MK510921	2017
MK510922	2017
MK510923	2017
MK510924	2017
MK514264	2018
MK514265	2018
MK514266	2018
MK514267	2018
MK514268	2018
MK514269	2018
MK514270	2018
MK514271	2018
MK514272	2018
MK514273	2018
MK540887	1990
MK540888	1990
MK540889	1990
MK540890	1990
MK540891	1990
MK540892	1990
MK540893	1991
MK540894	1991
MK540895	1991
MK540896	1991
MK540897	1991
MK540898	1991
MK540899	1991
MK540900	1991
MK540901	1991
MK540902	1993
MK540903	1993
MK540904	1993
MK540905	1993
MK540906	1995
MK540907	1995
MK540908	1995
MK540909	1995
MK540910	1995
MK540911	1995
MK540912	1995
MK540913	1996
MK540914	1996
MK540915	1996
MK540916	1996
MK540917	1996
MK540918	1996
MK540919	1996
MK540920	1997
MK540921	1998
MK540922	1998
MK540923	1998
MK540924	1998
MK540925	1998
MK540926	1998
MK540927	1999
MK540928	1999
MK540929	1999
MK540930	1999
MK540931	1999
MK540932	1999
MK540933	1999
MK540934	1999
MK540935	1999
MK540936	2000
MK540937	2000
MK540938	2000
MK540939	2000
MK540940	2000
MK540941	2000
MK540942	2000
MK540943	2000
MK540944	2000
MK540945	2000
MK540946	2001
MK540947	2001
MK540948	2001
MK540949	2001
MK540950	2001
MK540951	2001
MK540952	2001
MK540953	2001
MK540954	2001
MK540955	2001
MK540956	2002
MK540957	2002
MK540958	2002
MK540959	2002
MK540960	2003
MK540961	2003
MK540962	2003
MK540963	2003
MK540964	2004
MK540965	2004
MK540966	2004
MK540967	2005
MK540968	2005
MK540969	2005
MK540970	2005
MK540971	2006
MK540972	2006
MK540973	2006
MK540974	2006
MK540975	2006
MK540976	2006
MK540977	2006
MK540978	2007
MK540979	2007
MK540980	2007
MK540981	2008
MK540982	2008
MK540983	2008
MK540984	2008
MK540985	2008
MK540986	2008
MK540987	2009
MK540988	2009
MK540989	2009
MK540990	2009
MK540991	2009
MK540992	2009
MK540993	2010
MK540994	2011
MK540995	2011
MK540996	2012
MK540997	2012
MK540998	2015
MK540999	2016
MK541000	2017
MK541001	2017
MK541002	2017
MK541003	2017
MK541004	2017
MK541005	2017
MK541006	2017
MK541007	2017
MK541008	2017
MK541009	2018
MK541010	2018
MK541011	2018
MK541012	2000
LC380088	1999
LC380089	1999
LC380090	1999
LC380091	2014
LC380092	2014
LC380093	2015
LC380094	2015
LC380095	2015
LC380096	2013
LC380097	2014
LC380098	2013
LC380099	2003
LC380100	2000
LC380101	2005
LC380102	2006
LC380103	2014
LC380104	2014
LC380105	2013
LC380106	2013
LC380107	2012
LC380108	2013
LC380109	2013
LC380110	2012
LC380111	2014
LC380112	2013
LC380113	2012
LC380114	2014
LC380115	2014
LC380116	2013
LC380117	2014
LC380118	2014
LC380119	2014
LC380120	2014
LC380121	2001
LC380122	2013
LC380123	1999
LC380124	2015
LC380125	2015
LC380126	2007
LC380127	2013
LC380128	2005
LC380129	2014
LC380130	2015
LC380131	2013
LC380132	2000
LC380133	2014
LC380134	2014
