node	Caribbean	Central America	Central Asia	Eastern Africa	Eastern Asia	Eastern Europe	Middle Africa	Northern Africa	Northern America	Northern Europe	South America	South-Eastern Asia	Southern Africa	Southern Asia	Southern Europe	Western Africa	Western Asia	Western Europe
EU853576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU853574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU853573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n748748	9.452051431617843e-10	3.199257199285692e-09	1.3460690290996827e-09	8.656239341251221e-09	4.517454275410003e-09	1.515326244326413e-08	9.486749800669769e-09	0.9999995836845684	2.221148063928154e-09	5.585999928047169e-09	2.870460647229875e-09	5.8657996284346405e-09	1.1164869316570005e-09	4.007287727244299e-09	3.4315817058542067e-07	2.1481924379421284e-09	2.697638834892666e-09	3.340009770035062e-09
EU851123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n754	4.5313605532228225e-07	1.5337394664659455e-06	6.453126901488154e-07	4.6687887193645e-05	2.1655263556276203e-06	7.2644528962226095e-06	4.547990415789687e-06	0.9042150211230084	1.0648281680451668e-06	2.677958234730744e-06	1.3761141172936315e-06	2.8120957072293735e-06	5.352498034359286e-07	1.9211150735703493e-06	0.09570736915338733	1.0298484101884453e-06	1.293250476376049e-06	1.601218540363085e-06
n758758	5.32105003924902e-10	1.8010276973486014e-09	7.577722471158263e-10	4.9259789935213565e-09	2.5430530780106284e-09	8.530524245855743e-09	5.340581933200504e-09	0.9999998316598723	1.2503990183915811e-09	3.14464981100105e-09	1.615931529141234e-09	3.3021636109066647e-09	6.285285464932232e-10	2.2559105948401724e-09	1.2710327207517638e-07	1.2093269772835608e-09	1.5186370422816721e-09	1.88026516679309e-09
n764764	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KT119782	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MW553268	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n776	1.80552614560556e-101	6.111203610475545e-101	2.5712563223068288e-101	1.6531323328830534e-100	8.628556661635697e-101	2.89452956371778e-100	1.8121523072026356e-100	1.9588418164768802e-101	4.242820763338176e-101	1.0670357405096679e-100	5.4831435610223354e-101	1.1204829808143924e-100	2.1327094012681876e-101	7.654706548943524e-101	6.153327268563843e-101	1.0	5.1529716722061273e-101	6.3800748970969e-101
n776776	8.625632504048205e-33	2.9195365921271945e-32	1.2283794485009857e-32	7.89759373948501e-32	4.122164554901487e-32	1.3828184293813567e-31	8.657288005126336e-32	9.358075308749427e-33	2.0269444878534738e-32	5.097604478740481e-32	2.619490248835709e-32	5.352940716515932e-32	1.0188701824143678e-32	3.6569221541445684e-32	2.9396605429923575e-32	1.0	2.4617555418070889e-32	3.047985848591012e-32
HM368155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HQ256771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HM368143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n777777	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n778778	1.0813184265199344e-23	3.659960440934385e-23	1.5399088287274714e-23	9.90157263092763e-23	5.167623249448287e-23	1.7335186902711409e-22	1.0	1.1734440433894642e-23	2.5410007975638477e-23	6.390408233744216e-23	3.2838194046392636e-23	6.710500308964748e-23	1.2772659081612617e-23	4.5843545061935064e-23	3.68518841090957e-23	2.8787522415381346e-23	3.0860976128484954e-23	3.8209857129163216e-23
n780	2.674826859586234e-11	9.053535599573472e-11	3.8092267846543707e-11	2.4496808280899975e-10	1.2783117912421024e-10	4.288165816727976e-10	0.9999999980776159	2.903739379881548e-11	6.285607682093019e-11	1.5807763260673446e-10	8.123086934347106e-11	1.659956553083187e-10	3.1595347911281146e-11	1.1340182142378858e-10	9.115942562272247e-11	6.117909760087818e-11	7.634042055765959e-11	9.451859012390522e-11
KT119771	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n789789	3.0411819805822984e-15	1.0293554762701065e-14	4.3309582610635896e-15	2.7844937402592025e-14	1.4533719734812156e-14	4.875471425050341e-14	3.052342909999723e-14	3.2994229606441062e-15	0.9999999999997581	1.7972876586121202e-14	9.23566652057264e-15	1.8873128206002974e-14	3.592281064995292e-15	1.289339155985369e-14	1.0364506772777162e-14	6.91173462722614e-15	8.679533444623332e-15	1.0746434670838439e-14
KC791817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n802	3.1864559724017717e-09	1.0785266826824719e-08	4.537843489407355e-09	2.9175060179035204e-08	1.5227979929615754e-08	5.108367462886333e-08	3.198150055174536e-08	3.4570328545478122e-09	0.9999997465536321	1.8831421612967254e-08	9.676844386928569e-09	1.977467728662172e-08	3.763880476397121e-09	1.3509295038031674e-08	1.0859608138482181e-08	7.241900773007884e-09	9.094145438149448e-09	1.1259780319275976e-08
KC792082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n804804	7.660978195461581e-08	2.593027950430481e-07	1.0910026790849916e-07	7.01436021142948e-07	3.6611590811901356e-07	1.228169856622239e-06	7.689093478997273e-07	8.311507690383296e-08	0.9999939065622905	4.52750992375224e-07	2.326537522916297e-07	4.75429043511658e-07	9.04924044447653e-08	3.2479474255660195e-07	2.6109013236251075e-07	1.741120680663039e-07	2.1864431993236037e-07	2.7071119845613955e-07
KC792081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n806806	3.554570637590427e-11	1.2031232539592477e-10	5.062076917146531e-11	3.2545502953858596e-10	1.6987189151943612e-10	5.698510554306599e-10	3.5676156768430667e-10	3.856405857908763e-11	0.9999999971727431	2.1006917688231132e-10	1.0794759827279199e-10	2.2059142777906358e-10	4.1987019876167425e-11	1.5069953544800076e-10	1.2114162115857076e-10	8.07851985747894e-11	1.0144744703317227e-10	1.2560564104823091e-10
KC792218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n810810	2.2457079463599105e-19	7.601096512735009e-19	3.1981208138719144e-19	2.0561609809835885e-18	1.0732172601328448e-18	3.600207090903257e-18	2.2539495425998237e-18	2.4364015093185303e-19	1.0	1.3271758172314894e-18	6.819917333655464e-19	1.3936533325922298e-18	2.652657483800842e-19	9.520900785314667e-19	7.65348979079395e-19	5.1038502425702785e-19	6.409250536609566e-19	7.935517804713811e-19
n815	2.42282463967253e-09	8.20058722059052e-09	3.45035333147247e-09	2.218328294622145e-08	1.1578608077693175e-08	3.8841517419280633e-08	2.4317162377195415e-08	2.6285580045223685e-09	0.9999998072918287	1.4318488165212158e-08	7.3577972453914256e-09	1.503569345526262e-08	2.8618698664506977e-09	1.027180449244085e-08	8.257112702786375e-09	5.506385691062524e-09	6.914741573824738e-09	8.561383979490892e-09
n819819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ275564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n823823	3.5064644953618275e-10	1.1868406633359074e-09	4.993568785600025e-10	3.2105045087655455e-09	1.6757291304069197e-09	5.621389183560289e-09	3.5193329881172864e-09	3.8042147979699395e-10	0.9999999721100591	2.072261843637717e-09	1.0648667850152209e-09	2.17606031310446e-09	4.1418784282753385e-10	1.4866002799533865e-09	1.195021387378478e-09	7.969188389357115e-10	1.0007449771690377e-09	1.2390574436197258e-09
JQ513532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ228497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ228495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n832	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KU055577	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KU055578	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU530708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
